LOCID,LONGITUDE,LATITUDE
4Z5,-141.181295,62.0071736111
WWT,-164.656213889,60.9236541667
20K,-149.762224167,65.3539808333
2K5,-153.268973333,63.3938727778
37AR,-91.6282888889,33.1824583333
88CL,-117.846223056,33.6729366667
82CA,-118.902875,34.2794469444
O27,-120.800208889,37.7563447222
CD29,-107.650613889,38.4499872222
CO52,-105.303325833,39.5833213889
CO56,-104.463013056,39.9641502778
18FD,-86.6671769444,30.8540741667
0FL3,-82.9816666667,29.6027777778
9FD6,-82.4209269444,27.9469663889
7GA8,-84.32548,33.7923272222
02ID,-115.305106667,44.5554594444
0WN8,-116.851944444,47.2511111111
0IS2,-87.8525658333,42.0930830556
65IS,-88.9836897222,41.0239211111
95IL,-88.4000402778,37.4861611111
31II,-84.9118941667,38.9258933333
IN55,-87.2611211111,40.0792061111
16KY,-83.1226758333,38.4439680556
7LA2,-90.5667527778,29.7002116667
ME38,-67.8744688889,46.5278194444
60G,-84.65137,42.5836475
MY92,-93.2882805556,45.7285730556
MO08,-93.3327077778,38.6627941667
9MO6,-92.9924169444,38.1930844444
04MT,-106.488095,47.1374977778
MT87,-105.933901389,48.6666919444
ND34,-103.35,48.275
01NE,-100.652643611,40.8436166667
37NJ,-75.4949194444,39.6976133333
98NM,-104.718047222,36.0767025
1OA2,-81.9906955556,41.2617197222
53OH,-84.4507819444,41.1344936111
9OI3,-82.1102777778,39.8986111111
PS05,-80.3747875,41.8753333333
SC21,-78.8330791667,33.9418377778
SD57,-100.750422778,44.5666469444
TN66,-85.0471772222,35.7445127778
XS32,-96.165,31.345
14TS,-98.60446,27.4217025
2VA9,-77.7872152778,38.7578944444
VG15,-76.3951833333,37.6441833333
WI66,-88.6581583333,42.5872375
4WV4,-79.0616666667,39.17
5AK1,-151.041147222,61.1807694444
AL01,-87.5333244444,31.5584936111
AKK,-154.182555556,56.9386908333
Z59,-161.743128889,60.7820252778
KWK,-163.140335278,59.836725
A43,-134.015356389,58.0691138889
0AR7,-91.1812252778,33.9501041667
CO86,-105.938333333,40.0486111111
0CO8,-105.013035,40.2083175
14FA,-80.3997766667,25.5701069444
2IA7,-91.6693461111,41.9727788889
MU77,-92.7307388889,39.1291972222
ID29,-115.983756111,46.6974052778
44IS,-91.0748591667,39.7447688889
9IS0,-91.3307063889,40.5430980556
0LL7,-88.6167430556,41.65003
13KY,-87.1561086111,37.7056030556
MI85,-84.9880211111,41.9375483333
48MI,-85.7156388889,42.7274166667
2MI2,-83.4041002778,42.4278133333
6Y4,-87.2581941667,46.0521775
MN52,-93.0921444444,47.2291041667
64MN,-93.4327222222,45.0428333333
MU41,-93.8877777778,36.7866666667
5MS3,-89.8030555556,31.175
ND96,-100.679288889,46.8016583333
6NA5,-102.009051111,46.9127847222
NM30,-103.067169167,34.8750638889
OI66,-83.6710422222,40.7408866667
OI82,-82.7248894444,38.9121577778
4OI1,-81.8951327778,39.9717361111
83OK,-94.5779972222,35.2567611111
3OR7,-123.117893056,46.0331672222
51OR,-122.977039444,44.9995638889
02OR,-121.316461389,45.6815088889
39OR,-122.875555556,42.4291666667
PS18,-78.6275263889,41.9036738889
90PN,-76.8196919444,40.0173186111
SC03,-80.6484219444,33.5571013889
SD94,-96.4769977778,44.9930197222
3SD4,-96.8633333333,43.4655555556
55GE,-84.7416052778,34.9806322222
TN37,-89.022285,35.4042461111
UT27,-113.208557778,37.2510933333
VA60,-77.7774944444,39.0514961111
2VT2,-73.2816666667,44.8727777778
11WA,-117.470482222,47.5237805556
WI57,-91.96267,44.6210763889
4WI8,-91.3762577778,44.0513508333
00WI,-89.0501136111,44.304285
5AR1,-91.4612333333,33.7126072222
AN01,-110.316666667,32.8166666667
CN22,-117.917004167,33.8650147222
4CA5,-117.865056667,33.7816833333
34CO,-104.732470833,39.7163763889
01CT,-72.7274638889,41.6272888889
0GA5,-84.2890863889,34.4548138889
6KS6,-98.4959097222,37.0153047222
46KY,-84.4646636111,39.0778380556
06KY,-83.3451508333,37.5259238889
1KY0,-84.2329863889,37.6767475
LA90,-92.4262438889,30.4610338889
02MA,-70.9269794444,41.4195519444
ME92,-70.2222819444,44.5167302778
95MI,-85.7230555556,44.0894444444
41MO,-93.4957527778,37.3608788889
1MS5,-89.7028619444,34.8889841667
5NA0,-101.279046667,47.7736125
NA49,-100.05458,48.4177755556
4NE3,-100.744033333,41.1049986111
NV07,-115.036679444,38.4146730556
K77,-99.1020111111,36.7584944444
OR91,-116.746815556,45.1248783333
OG52,-123.258933333,44.8392222222
PR13,-66.0776658333,18.4174472222
TN76,-88.2958761111,36.3083905556
3TS8,-95.2774352778,29.7893933333
03XS,-100.754166667,31.3180555556
59TA,-95.60439,29.6152341667
UT44,-111.971608056,41.0582769444
34VA,-77.4763888889,39.0772222222
WY33,-110.278333333,42.8169444444
A13,-148.998880556,61.3413388889
AL53,-87.6764180556,34.7462
15AR,-90.5433333333,34.8258611111
2CL0,-118.160625556,33.9866802778
48CL,-121.059393056,39.1998941667
5CL0,-119.862105556,37.3404972222
9CO3,-108.9839975,38.6833177778
98FL,-81.4914611111,28.4336172222
96FL,-82.5453830556,29.24247
IA38,-93.4291666667,41.5480555556
54U,-115.317612778,45.1332430556
2MA2,-71.4095052778,42.3264841667
ME27,-68.8022583333,44.9009022222
Y65,-84.6000355556,45.408345
75MI,-82.8477777778,42.9713888889
45MN,-96.6142291667,47.9260833333
2MN9,-93.9952619444,45.8244105556
07MN,-95.9094630556,44.0549647222
13MT,-110.113266667,48.5208258333
28MT,-112.748083333,46.9535555556
4NE1,-99.7545658333,41.7541688889
NE12,-98.2281183333,41.2389019444
OH75,-83.5929844444,40.6494983333
9OI7,-83.2840847222,40.3400597222
